1.mp4;polymathie2.mp4;require,attention,id,like,list,im,go
3.mp4;require,attention,id,like,list,im,go
67.mp4;thing,another,item,deconstruct,product,fetishism,whole,conference,could,hold,need
68.mp4;thing,another,item,deconstruct,product,fetishism,whole,conference,could,hold,need
69.mp4;zen,like,spareness,media,establish,idea
70.mp4;social,consciousness,interior,decorating,highest,expression,come,build
71.mp4;deconstruct,product,fetishism,country,house,kikuyu,forth
72.mp4;deconstruct,product,fetishism,country,house,kikuyu,forth
73.mp4;yanomamo,become,material,existence,term,relate,paragon
74.mp4;yanomamo,become,material,existence,term,relate,paragon
75.mp4;yanomamo,become,material,existence,term,relate,paragon
76.mp4;yanomamo,become,material,existence,term,relate,paragon
77.mp4;yanomamo,become,material,existence,term,relate,paragon
78.mp4;yanomamo,become,material,existence,term,relate,paragon
79.mp4;planet
80.mp4;planet
81.mp4;use,advertising,spread,discontent,technique,capitalism
82.mp4;obvious,way,dont,already,something,sell,move
83.mp4;purchase,make,image,constantly,bombard
84.mp4;correct,running,shoes,german,automobile,inadequacy,unless,house,country
85.mp4;correct,running,shoes,german,automobile,inadequacy,unless,house,country
86.mp4;next,item,demilitarization,nuclear,weapon,much,talk,getting,rid,leadership
87.mp4;next,item,demilitarization,nuclear,weapon,much,talk,getting,rid,leadership
88.mp4;bankrupt,fascist,oligarchies,could,nuclear,weapon,lantern,jaw,incinerate
89.mp4;bankrupt,fascist,oligarchies,could,nuclear,weapon,lantern,jaw,incinerate
90.mp4;getting,rid,subject,planet,blab,army
91.mp4;getting,rid,subject,planet,blab,army
92.mp4;large,crystallized,power,blocks,set,moment
93.mp4;military,budgets,across,fifteen,percent,reduction,one,claim,board
94.mp4;security,lessen,enemy
95.mp4;would,reduce,military,spending,apparently,there,big,game,going,lethal,junk,deal
96.mp4;demilitarizing,even,world,there,that,regime
97.mp4;demilitarizing,even,world,there,that,regime
98.mp4;somalian,regime,natural,right,dominator,jerk,haitian,apparently
99.mp4;much,weaponry,steal,squeeze,money,buy
100.mp4;captive,population,another,area,democratic,value,human,right
101.mp4;human,right,echo,consciousness,democratic,value,cannot,build,population
102.mp4;slaves,ruled,one,third,human,specy,situation,oligarch
103.mp4;slaves,ruled,one,third,human,specy,situation,oligarch
104.mp4;rules,china,octogenarian,trash,place,long,government
105.mp4;government,accountability,lead,issue
106.mp4;governments,accountable,environment,cleaning,toxic,preserve,matter
107.mp4;governments,accountable,environment,cleaning,toxic,preserve,matter
108.mp4;also,necessary,weapons,stockpile,waist,disposing,manufacturing,processe,characters,feel
109.mp4;also,necessary,weapons,stockpile,waist,disposing,manufacturing,processe,characters,feel
110.mp4;thing,youre,used,bolts,laundry,list,well,that,pretty,nut,sort
111.mp4;think,hearing,senses,may,list,like,great
112.mp4;little,overwhelming,make,fulfill,demand
113.mp4;many,agenda,bailey,wick,come
114.mp4;hundred,years,since,illuminating,force,great,stabilizing,less
115.mp4;hundred,years,since,illuminating,force,great,stabilizing,less
116.mp4;western,civilization,great,stabilizing,archaic,person,live,come
117.mp4;western,civilization,great,stabilizing,archaic,person,live,come
118.mp4;vegetable,connection,illuminating,force,archaic,person,live,guy
119.mp4;vegetable,connection,illuminating,force,archaic,person,live,guy
120.mp4;abstract,reasoning,like,ive,mind,experientially,ability
121.mp4;abstract,reasoning,like,ive,mind,experientially,ability
122.mp4;tension,planet,pain,need,mother
123.mp4;tension,planet,pain,need,mother
124.mp4;hundred,thousand,year,psychoactive,plant,ingestion
125.mp4;hundred,thousand,year,psychoactive,plant,ingestion
126.mp4;excremental,e,brained,monotheist,agriculturalists,faction,arose
127.mp4;vegetable,mind,psychedelic,experience,human,order,greatest,gift
128.mp4;vegetable,mind,psychedelic,experience,human,order,greatest,gift
129.mp4;dissolution,boundary,allow
130.mp4;order,necessary,go,dissolve,coordinate
131.mp4;human,world,vision,metamorphosis
132.mp4;dont,mean,vision,plan
133.mp4;vision,come,unconscious,call,dont
134.mp4;mind,call,great,spirit,doesnt,come,committee,meeting,guy
135.mp4;statistical,analysis,highest,level,data,gathered,lack
136.mp4;statistical,analysis,highest,level,data,gathered,lack
137.mp4;best,leaders,among,us,controlling,level,vision,lack
138.mp4;crisis,managers,cant,attempting,manage,us,past,apocalypse
139.mp4;crisis,managers,cant,attempting,manage,us,past,apocalypse
140.mp4;isnt,good,enough,that,daddy,raised,inevitable,come,believe
141.mp4;isnt,good,enough,that,daddy,raised,inevitable,come,believe
142.mp4;daddy,raised,cutting,edge,represent
143.mp4;self,reflective,consciousness,great,glory,biological,world,also,open,novelty
144.mp4;self,reflective,consciousness,great,glory,biological,world,also,open,novelty
145.mp4;moral,responsibility,unknown,us,rest,nature,dimension
146.mp4;moral,responsibility,unknown,us,rest,nature,dimension
147.mp4;godlike,aspiration,promethean,part,nature,control
148.mp4;concomitant,obligation,nature,feel,care
149.mp4;concomitant,obligation,nature,feel,care
150.mp4;psychedelic,empowerment,really,nature,message
151.mp4;psychedelic,empowerment,really,nature,message
152.mp4;ratiocination,idea,feel,come
153.mp4;people,feel,could,would,make,dilemma
154.mp4;move,rapidly,toward,real,solution,world,dying,anesthetise,anesthesia
155.mp4;move,rapidly,toward,real,solution,world,dying,anesthetise,anesthesia
156.mp4;authentic,experience,connection,living,world,lack,come
157.mp4;authentic,experience,connection,living,world,lack,come
158.mp4;recommend,called,going,wonderful,book,past,week,recently,read
159.mp4;recommend,called,going,wonderful,book,past,week,recently,read
160.mp4;kenny,greener,good,important,thing,yanomami,think,live
161.mp4;kenny,greener,good,important,thing,yanomami,think,live
162.mp4;young,girl,twelve,year,marry,live,book
163.mp4;tribe,tell,story,life
164.mp4;rutherford,new,jersey,outboard,motor,never,seen,woman,mean
165.mp4;wonderful,book,began,reading,skeptical
166.mp4;woman,trophy,think,read,know
167.mp4;message,judgment,feel,badly,amazon
168.mp4;reaching,across,incredible,barrier,ultimately,message,love
169.mp4;reaching,across,incredible,barrier,ultimately,message,love
170.mp4;essential,humanness,us,unite,time,space
171.mp4;essential,humanness,us,unite,time,space
172.mp4;whatever,technique,sense,create,available
173.mp4;community,globally,sense,care
174.mp4;community,globally,sense,care
175.mp4;cannot,happen,unless,technology,responsibility,money,mind
176.mp4;cannot,happen,unless,technology,responsibility,money,mind
177.mp4;logistical,ability,human,world,dont,know,almost,anything
178.mp4;logistical,ability,human,world,dont,know,almost,anything
179.mp4;siamese,twin,monkey,growing,mind,change,angel
180.mp4;siamese,twin,monkey,growing,mind,change,angel
181.mp4;endless,environment,fine,despoil,chest
182.mp4;vast,herd,curious,amalgam,game,animal,angelic
183.mp4;humanness,could,exist,past,thousand,kind,environment
184.mp4;humanness,could,exist,past,thousand,kind,environment
185.mp4;western,civilization,moral,bankruptcy,coming,home,year,chicken
186.mp4;western,civilization,moral,bankruptcy,coming,home,year,chicken
187.mp4;must,build,community,short,time,roost
188.mp4;five,hundred,year,dont,think,would,make,debate
189.mp4;terminal,weve,lost,advocating,psychedelic,intervention,dont,know,sick,compass
190.mp4;terminal,weve,lost,advocating,psychedelic,intervention,dont,know,sick,compass
191.mp4;dont,know,want,live,go
192.mp4;tension,lose,inadequacy,experience,compass
193.mp4;tension,lose,inadequacy,experience,compass
194.mp4;magical,panacea,psychedelics,lift,psychedelic,veil,intention
195.mp4;mind,guy,atom
196.mp4;western,think,purpose,follow
197.mp4;six,hundred,years,old,human,being,planet,two,million,year,science
198.mp4;life,one,point,four,billion,year,enormous,wisdom,must,biology
199.mp4;life,one,point,four,billion,year,enormous,wisdom,must,biology
200.mp4;crowning,achievement,become,able,tap,articulate,activate
201.mp4;crowning,achievement,become,able,tap,articulate,activate
202.mp4;evolutionary,process,let,lets,make,betray,ascent,angelic
203.mp4;evolutionary,process,let,lets,make,betray,ascent,angelic
204.mp4;sure,rest,mind,intention,guy
205.mp4;planet,thank,share,much,life
206.mp4;perhaps,toxic,disposal,new
207.mp4;hiding,shell,games,postponement,tabling,toxic,disposal,real,method,need,come
208.mp4;hiding,shell,games,postponement,tabling,toxic,disposal,real,method,need,come
209.mp4;toxic,materials,throughout,sequester,radioactive,world,continue,body
210.mp4;morning,sun
211.mp4;morning,sun
212.mp4;face,closeup
213.mp4;shaking,hand
214.mp4;taking,selfie
215.mp4;depression
216.mp4;depression
217.mp4;depression
218.mp4;universe
219.mp4;universe
220.mp4;dad
221.mp4;dad,grown
222.mp4;family,laughing
223.mp4;family,laughing,talking
224.mp4;closeup,man,face
225.mp4;accountant
226.mp4;family
227.mp4;lesson
228.mp4;sun,rising
229.mp4;little,kid,actor
230.mp4;stairs,falling
231.mp4;stairs,falling
232.mp4;stairs,falling
233.mp4;imagine
234.mp4;road,path
235.mp4;universe
236.mp4;universe
237.mp4;family,laughing
238.mp4;write
239.mp4;person,walking
240.mp4;eye
241.mp4;relax
242.mp4;sun,rising
243.mp4;person,thinking
244.mp4;challenge
245.mp4;write
246.mp4;write
247.mp4;fear
248.mp4;depression
249.mp4;depression
250.mp4;depression
251.mp4;depression
252.mp4;city,building
253.mp4;city,building
254.mp4;sadness
255.mp4;sky,bird
256.mp4;wake
257.mp4;wake
258.mp4;eyes,looking
259.mp4;person,walking
260.mp4;relax
261.mp4;sleep
262.mp4;sleep
263.mp4;dream
264.mp4;dream
